frame,sign,prob
1.0,2.0,0.6404638290405273
2.0,2.0,0.6452136039733887
3.0,2.0,0.6496986746788025
4.0,2.0,0.6299170851707458
5.0,2.0,0.5529642701148987
6.0,2.0,0.5589033961296082
7.0,2.0,0.6250012516975403
8.0,2.0,0.544296145439148
9.0,2.0,0.5525156855583191
14.0,4.0,0.9636157155036926
15.0,6.0,0.4934060871601105
16.0,4.0,0.8091970086097717
17.0,4.0,0.7878848314285278
18.0,4.0,0.8342342972755432
19.0,4.0,0.7910391688346863
20.0,4.0,0.7965772151947021
21.0,6.0,0.7014232277870178
22.0,6.0,0.9966341853141785
23.0,6.0,0.9984046816825867
24.0,6.0,0.998251736164093
25.0,6.0,0.9976494908332825
26.0,6.0,0.9974573254585266
27.0,6.0,0.9973955154418945
28.0,1.0,0.46860191226005554
29.0,6.0,0.9835125803947449
30.0,7.0,0.9709423780441284
31.0,7.0,0.9891359806060791
32.0,7.0,0.9880339503288269
33.0,2.0,0.46897581219673157
34.0,7.0,0.9560613036155701
35.0,7.0,0.9911503791809082
36.0,2.0,0.3376258313655853
37.0,7.0,0.9866933226585388
38.0,7.0,0.9904897212982178
39.0,2.0,0.5767014622688293
40.0,7.0,0.9899787902832031
41.0,2.0,0.3243197798728943
42.0,2.0,0.3976348340511322
43.0,7.0,0.9781092405319214
44.0,7.0,0.9805472493171692
45.0,5.0,0.33186638355255127
46.0,7.0,0.9881028532981873
47.0,7.0,0.9865512847900391
48.0,7.0,0.985985279083252
49.0,7.0,0.9884976148605347
